intercept,intercept_sd,mu,mu_sd,sigma,sigma_sd,noise,noise_sd
7.853125e-07,7.853125e-08,6.973063e-11,6.973063e-12,2.223536e-12,2.223536e-13,7.830495e-07,7.830495e-08
7.862778e-07,7.862778e-08,6.693362e-11,6.693362e-12,1.649144e-12,1.649144e-13,7.936144e-07,7.936144e-08
7.452431e-07,7.452431e-08,6.792463e-11,6.792463e-12,2.109653e-12,2.109653e-13,7.203726e-07,7.203726e-08
7.950139e-07,7.950139e-08,6.680312e-11,6.680312e-12,1.670323e-12,1.670323e-13,8.100348e-07,8.100348e-08
7.588889e-07,7.588889e-08,6.781881e-11,6.781881e-12,2.091075e-12,2.091075e-13,7.281816e-07,7.281816e-08
7.102500e-07,7.102500e-08,6.685662e-11,6.685662e-12,1.649419e-12,1.649419e-13,6.854477e-07,6.854477e-08
7.599653e-07,7.599653e-08,6.675115e-11,6.675115e-12,1.641041e-12,1.641041e-13,7.507439e-07,7.507439e-08
7.632708e-07,7.632708e-08,6.669471e-11,6.669471e-12,1.676721e-12,1.676721e-13,7.618731e-07,7.618731e-08
7.311042e-07,7.311042e-08,6.812768e-11,6.812768e-12,2.154188e-12,2.154188e-13,6.965018e-07,6.965018e-08
7.752778e-07,7.752778e-08,6.648299e-11,6.648299e-12,1.605018e-12,1.605018e-13,7.751025e-07,7.751025e-08
7.550972e-07,7.550972e-08,6.946643e-11,6.946643e-12,2.018507e-12,2.018507e-13,7.262807e-07,7.262807e-08
7.563958e-07,7.563958e-08,6.624406e-11,6.624406e-12,1.571103e-12,1.571103e-13,7.407432e-07,7.407432e-08
7.281806e-07,7.281806e-08,6.693304e-11,6.693304e-12,1.652148e-12,1.652148e-13,7.070072e-07,7.070072e-08
7.238958e-07,7.238958e-08,6.610036e-11,6.610036e-12,1.497458e-12,1.497458e-13,7.024108e-07,7.024108e-08
7.317917e-07,7.317917e-08,6.843255e-11,6.843255e-12,2.066359e-12,2.066359e-13,7.048715e-07,7.048715e-08
7.052431e-07,7.052431e-08,6.643827e-11,6.643827e-12,1.628200e-12,1.628200e-13,6.583976e-07,6.583976e-08
7.226319e-07,7.226319e-08,6.653274e-11,6.653274e-12,1.551075e-12,1.551075e-13,6.946990e-07,6.946990e-08
7.091528e-07,7.091528e-08,6.664623e-11,6.664623e-12,1.559275e-12,1.559275e-13,7.004421e-07,7.004421e-08
7.028750e-07,7.028750e-08,6.661972e-11,6.661972e-12,1.634219e-12,1.634219e-13,6.612767e-07,6.612767e-08
8.925208e-07,8.925208e-08,6.666700e-11,6.666700e-12,1.630768e-12,1.630768e-13,8.452781e-07,8.452781e-08
7.162014e-07,7.162014e-08,6.645854e-11,6.645854e-12,1.579164e-12,1.579164e-13,6.658692e-07,6.658692e-08
7.978611e-07,7.978611e-08,6.770007e-11,6.770007e-12,1.984750e-12,1.984750e-13,8.153402e-07,8.153402e-08
7.404722e-07,7.404722e-08,6.654275e-11,6.654275e-12,1.585981e-12,1.585981e-13,7.183681e-07,7.183681e-08
7.165208e-07,7.165208e-08,6.647042e-11,6.647042e-12,1.558943e-12,1.558943e-13,6.825284e-07,6.825284e-08
8.614931e-07,8.614931e-08,8.830108e-11,8.830108e-12,6.660100e-12,6.660100e-13,7.467259e-07,7.467259e-08
7.998403e-07,7.998403e-08,7.334201e-11,7.334201e-12,2.081016e-12,2.081016e-13,7.826829e-07,7.826829e-08
8.661111e-07,8.661111e-08,7.489351e-11,7.489351e-12,2.489113e-12,2.489113e-13,8.615136e-07,8.615136e-08
8.458681e-07,8.458681e-08,7.485373e-11,7.485373e-12,2.669437e-12,2.669437e-13,8.508206e-07,8.508206e-08
8.868611e-07,8.868611e-08,8.201613e-11,8.201613e-12,2.389966e-12,2.389966e-13,8.545369e-07,8.545369e-08
8.442569e-07,8.442569e-08,8.146011e-11,8.146011e-12,2.750692e-12,2.750692e-13,8.018829e-07,8.018829e-08
8.701250e-07,8.701250e-08,7.712766e-11,7.712766e-12,2.736548e-12,2.736548e-13,8.700458e-07,8.700458e-08
8.195764e-07,8.195764e-08,7.630448e-11,7.630448e-12,3.884785e-12,3.884785e-13,8.162530e-07,8.162530e-08
8.552778e-07,8.552778e-08,7.141962e-11,7.141962e-12,1.874209e-12,1.874209e-13,8.210168e-07,8.210168e-08
7.806319e-07,7.806319e-08,6.709000e-11,6.709000e-12,1.648037e-12,1.648037e-13,7.808849e-07,7.808849e-08
7.567778e-07,7.567778e-08,7.081680e-11,7.081680e-12,1.917753e-12,1.917753e-13,6.972479e-07,6.972479e-08
7.417639e-07,7.417639e-08,6.643081e-11,6.643081e-12,1.632985e-12,1.632985e-13,7.410993e-07,7.410993e-08
7.720556e-07,7.720556e-08,6.703313e-11,6.703313e-12,1.689898e-12,1.689898e-13,7.710574e-07,7.710574e-08
7.632986e-07,7.632986e-08,6.664713e-11,6.664713e-12,1.602044e-12,1.602044e-13,7.557611e-07,7.557611e-08
7.491597e-07,7.491597e-08,6.755749e-11,6.755749e-12,1.875440e-12,1.875440e-13,7.165639e-07,7.165639e-08
7.208125e-07,7.208125e-08,6.661778e-11,6.661778e-12,1.628842e-12,1.628842e-13,7.012316e-07,7.012316e-08
8.667639e-07,8.667639e-08,6.698358e-11,6.698358e-12,1.695896e-12,1.695896e-13,8.945470e-07,8.945470e-08
7.099167e-07,7.099167e-08,6.680438e-11,6.680438e-12,1.634461e-12,1.634461e-13,6.944355e-07,6.944355e-08
7.566181e-07,7.566181e-08,6.661811e-11,6.661811e-12,1.600651e-12,1.600651e-13,7.468924e-07,7.468924e-08
7.098264e-07,7.098264e-08,6.684375e-11,6.684375e-12,1.613314e-12,1.613314e-13,6.801366e-07,6.801366e-08
7.168958e-07,7.168958e-08,6.680867e-11,6.680867e-12,1.624088e-12,1.624088e-13,6.788702e-07,6.788702e-08
7.296458e-07,7.296458e-08,6.629117e-11,6.629117e-12,1.578103e-12,1.578103e-13,6.951718e-07,6.951718e-08
7.359444e-07,7.359444e-08,6.671990e-11,6.671990e-12,1.684098e-12,1.684098e-13,7.057480e-07,7.057480e-08
7.400278e-07,7.400278e-08,6.650484e-11,6.650484e-12,1.575194e-12,1.575194e-13,7.438531e-07,7.438531e-08
7.547222e-07,7.547222e-08,7.145340e-11,7.145340e-12,1.938681e-12,1.938681e-13,7.184685e-07,7.184685e-08
7.464028e-07,7.464028e-08,6.608383e-11,6.608383e-12,1.545746e-12,1.545746e-13,7.332204e-07,7.332204e-08
7.492986e-07,7.492986e-08,6.689050e-11,6.689050e-12,1.632757e-12,1.632757e-13,7.222841e-07,7.222841e-08
